sinai_lab,mover_lab,,,,,
ALBUMIN,Albumin,,,,,
ALT,Alanine aminotransferase,,,,,
ANION GAP,Anion gap,,,,,
AST,Aspartate aminotransferase,,,,,
BASOPHILS,Basophils,,,,,
"BILIRUBIN, TOTAL",Bilirubin,,,,,
Basophil %,Basophils/100 leukocytes,,,,,
CALCIUM,Calcium,,,,,
CHLORIDE,Chloride,,,,,
CHOLESTEROL,Cholesterol,,,,,
Creatinine - Serum,Creatinine,,,,,
EOSINOPHILS,Eosinophils,,,,,
Eosinophil %,Eosinophils/100 leukocytes,,,,,
FERRITIN,Ferritin,,,,,
"GFR, ESTIMATED",Glomerular filtration rate/1.73 sq M.predicted.non black,,,,,
GLUCOSE,Glucose,,,,,
HDL,Cholesterol.in HDL,,,,,
HEMATOCRIT,Hematocrit,,,,,
HEMOGLOBIN,Hemoglobin,,,,,
INR,Coagulation tissue factor induced.INR,,,,,
LDL,Cholesterol.in LDL,,,,,
LYMPHOCYTES,Lymphocytes,,,,,
Lymphocyte %,Lymphocytes/100 leukocytes,,,,,
MEAN CORPUSCULAR HEMOGLOBIN,Erythrocyte mean corpuscular hemoglobin,,,,,
MEAN CORPUSCULAR VOLUME,Erythrocyte mean corpuscular volume,,,,,
MONOCYTES,Monocytes,,,,,
Mean Corpuscular Hemoglobin Concentration,Erythrocyte mean corpuscular hemoglobin concentration,,,,,
Monocyte %,Monocytes/100 leukocytes,,,,,
NEUTROPHILS,Neutrophils,,,,,
Neutrophil %,Neutrophils/100 leukocytes,,,,,
PLATELET COUNT,Platelets,,,,,
POTASSIUM,Potassium,,,,,
SODIUM,Sodium,,,,,
TRIGLYCERIDES,Triglyceride,,,,,
TROPONIN I,Troponin I.cardiac,,,,,
TSH,Thyrotropin,,,,,
Total Protein - Blood,Protein,,,,,
"UREA NITROGEN, BLOOD",Urea nitrogen,,,,,
WHITE BLOOD CELL COUNT,Leukocytes,,,,,
"BICARBONATE, VENOUS",Bicarbonate,,,,,
"BILIRUBIN, DIRECT",Bilirubin.glucuronidated+Bilirubin.albumin bound,,,,,
"LACTATE, BLOOD",Lactate,,,,,
PREALBUMIN,Prealbumin,,,,,
Pro-BNP,Natriuretic peptide.B,,,,,
ALKALINE PHOSPHATASE,Alkaline phosphatase,,,,,
HIV,HIV 1+2 Ab,,,,,
COVID-19 PCR,SARS coronavirus 2 RNA,,,,,
INFLUENZA,Influenza virus A+B Ag,,,,,
MAGNESIUM,Magnesium,,,,,
ERYTHROCYTE SEDIMENTATION RATE,Erythrocyte sedimentation rate,,,,,
FIBRINOGEN,Fibrinogen,,,,,
HIV 1 PCR,HIV 1 RNA,,,,,
HEMOGLOBIN A1C,Hemoglobin A1c/Hemoglobin.total,,,,,
PARTIAL THROMBOPLASTIN TIME,UNMATCHED,,,,,
"ABG O2 SATURATION, ARTERIAL",UNMATCHED,,,,,
"ABG O2 SATURATION, VENOUS",UNMATCHED,,,,,
B-TYPE NATRIURETIC PEPTIDE,UNMATCHED,,,,,
"BICARBONATE, ARTERIAL",UNMATCHED,,,,,
"Base Excess, Arterial",UNMATCHED,,,,,
"Base Excess, Venous",UNMATCHED,,,,,
Ejection Fraction,UNMATCHED,,,,,
"Lactate, Arterial",UNMATCHED,,,,,
"Lactate, Venous",UNMATCHED,,,,,
"PCO2, Arterial",UNMATCHED,,,,,
"PCO2, Venous",UNMATCHED,,,,,
"PH, ARTERIAL",UNMATCHED,,,,,
"PH, VENOUS",UNMATCHED,,,,,
"PO2, Arterial",UNMATCHED,,,,,
"PO2, Venous",UNMATCHED,,,,,
"PO2, Capillary",UNMATCHED,,,,,
TSH and Free T4,UNMATCHED,,,,,
Protein - Urine Dipstick,UNMATCHED,,,,,
Total Protein - Urine,UNMATCHED,,,,,
HIV PCR,UNMATCHED,,,,,
UNMATCHED,Erythrocyte distribution width,,,,,
UNMATCHED,Indirect antiglobulin test.IgG specific reagent,,,,,
UNMATCHED,Polychromasia,,,,,
UNMATCHED,Platelet morphology finding,,,,,
UNMATCHED,Microorganism identified,,,,,
UNMATCHED,Major crossmatch,,,,,
UNMATCHED,Smooth muscle Ab,,,,,
UNMATCHED,Benzoylecgonine,,,,,
UNMATCHED,Carbon dioxide,,,,,
UNMATCHED,Phosphate,,,,,
UNMATCHED,Platelet mean volume,,,,,
UNMATCHED,Leukocytes^^corrected for nucleated erythrocytes,,,,,
UNMATCHED,Glomerular filtration rate/1.73 sq M.predicted.black,,,,,
UNMATCHED,Differential cell count method,,,,,
UNMATCHED,Coagulation tissue factor induced,,,,,
UNMATCHED,Erythrocyte morphology finding,,,,,
UNMATCHED,Anisocytosis,,,,,
UNMATCHED,Hypochromia,,,,,
UNMATCHED,Microcytes,,,,,
UNMATCHED,Myelocytes,,,,,
UNMATCHED,Erythrocytes,,,,,
UNMATCHED,Schistocytes,,,,,
UNMATCHED,Tetrahydrocannabinol,,,,,
UNMATCHED,Urinalysis complete W Reflex Culture panel,,,,,
UNMATCHED,Coagulation surface induced,,,,,
UNMATCHED,Herpes simplex virus 2 Ab.IgM,,,,,
UNMATCHED,Complement C3,,,,,
UNMATCHED,Herpes simplex virus 1 Ab.IgG,,,,,
UNMATCHED,ABO & Rh group,,,,,
UNMATCHED,D-lactate,,,,,
UNMATCHED,Barbiturates,,,,,
UNMATCHED,Methylenedioxymethamphetamine,,,,,
UNMATCHED,Epithelial cells.non-squamous,,,,,
UNMATCHED,Color,,,,,
UNMATCHED,Urobilinogen,,,,,
UNMATCHED,Ethanol,,,,,
UNMATCHED,Leukocyte esterase,,,,,
UNMATCHED,Ammonia,,,,,
UNMATCHED,Leukocyte clumps,,,,,
UNMATCHED,Mucus,,,,,
UNMATCHED,Lactate dehydrogenase,,,,,
UNMATCHED,Urate,,,,,
UNMATCHED,Calcium.ionized,,,,,
UNMATCHED,Oxygen,,,,,
UNMATCHED,Base excess^^standard,,,,,
UNMATCHED,Hepatitis B virus surface Ab,,,,,
UNMATCHED,Hepatitis B virus surface Ag,,,,,
UNMATCHED,Hepatitis B virus core Ab,,,,,
UNMATCHED,pH^^adjusted to patient's actual temperature,,,,,
UNMATCHED,Metamyelocytes,,,,,
UNMATCHED,Base excess,,,,,
UNMATCHED,Oxygen inhaled,,,,,
UNMATCHED,Reviewer initials,,,,,
UNMATCHED,Fibrin D-dimer FEU,,,,,
UNMATCHED,Metamyelocytes/100 leukocytes,,,,,
UNMATCHED,Blood product source,,,,,
UNMATCHED,Protein.monoclonal,,,,,
UNMATCHED,Body temperature,,,,,
UNMATCHED,Urinalysis specimen collection method,,,,,
UNMATCHED,Neutrophils.band form,,,,,
UNMATCHED,Neutrophils.band form/100 leukocytes,,,,,
UNMATCHED,Lymphocytes.abnormal,,,,,
UNMATCHED,Bacteria,,,,,
UNMATCHED,Procalcitonin,,,,,
UNMATCHED,Vancomycin^trough,,,,,
UNMATCHED,Clarity,,,,,
UNMATCHED,Oxygen content,,,,,
UNMATCHED,Nucleated cells,,,,,
UNMATCHED,Microscopic observation,,,,,
UNMATCHED,Lymphocytes.variant/100 leukocytes,,,,,
UNMATCHED,Myelocytes/100 leukocytes,,,,,
UNMATCHED,Platelets.large,,,,,
UNMATCHED,Ketones,,,,,
UNMATCHED,Yeast.budding,,,,,
UNMATCHED,Macrophages/100 leukocytes,,,,,
UNMATCHED,Methemoglobin,,,,,
UNMATCHED,Tube number,,,,,
UNMATCHED,Carboxyhemoglobin/Hemoglobin.total,,,,,
UNMATCHED,Iron,,,,,
UNMATCHED,Iron saturation,,,,,
UNMATCHED,Specific gravity,,,,,
UNMATCHED,Granular casts,,,,,
UNMATCHED,Nitrite,,,,,
UNMATCHED,Reticulocytes/100 erythrocytes,,,,,
UNMATCHED,Amylase,,,,,
UNMATCHED,Hemoglobin.gastrointestinal.lower,,,,,
UNMATCHED,Appearance,,,,,
UNMATCHED,Iron/Transferrin,,,,,
UNMATCHED,Toxic granules,,,,,
UNMATCHED,Stomatocytes,,,,,
UNMATCHED,Gamma glutamyl transferase,,,,,
UNMATCHED,Erythrocytes.nucleated/100 leukocytes,,,,,
UNMATCHED,Iron binding capacity,,,,,
UNMATCHED,C reactive protein,,,,,
UNMATCHED,Dacryocytes,,,,,
UNMATCHED,Triacylglycerol lipase,,,,,
UNMATCHED,Gentamicin^peak,,,,,
UNMATCHED,Gentamicin^trough,,,,,
UNMATCHED,Gentamicin,,,,,
UNMATCHED,Fungus identified,,,,,
UNMATCHED,Activated clotting time,,,,,
UNMATCHED,Heparin.low molecular weight,,,,,
UNMATCHED,Leukocytes other/100 leukocytes,,,,,
UNMATCHED,Legionella pneumophila 1 Ag,,,,,
UNMATCHED,Creatine kinase.MB,,,,,
UNMATCHED,Ova & parasites identified,,,,,
UNMATCHED,Target cells,,,,,
UNMATCHED,Hepatitis B virus DNA,,,,,
UNMATCHED,Crystals.amorphous,,,,,
UNMATCHED,Tacrolimus,,,,,
UNMATCHED,Coccidioides immitis Ab.IgG,,,,,
UNMATCHED,Cytomegalovirus Ab.IgM,,,,,
UNMATCHED,Toxoplasma gondii Ab.IgM,,,,,
UNMATCHED,Varicella zoster virus Ab.IgM,,,,,
UNMATCHED,Fluid,,,,,
UNMATCHED,Erythrocytes.nucleated,,,,,
UNMATCHED,Galactomannan Ag,,,,,
UNMATCHED,Creatine kinase,,,,,
UNMATCHED,Varicella zoster virus Ab.IgG,,,,,
UNMATCHED,Epstein Barr virus capsid Ab.IgM,,,,,
UNMATCHED,West Nile virus Ab.IgG,,,,,
UNMATCHED,Parathyrin.intact,,,,,
UNMATCHED,Calcidiol,,,,,
UNMATCHED,Methadone,,,,,
UNMATCHED,Cobalamins,,,,,
UNMATCHED,Valproate,,,,,
UNMATCHED,Thyroxine.free,,,,,
UNMATCHED,Hepatitis C virus Ab,,,,,
UNMATCHED,Coccidioides immitis Ab.IgM,,,,,
UNMATCHED,Trypanosoma cruzi Ab.IgG,,,,,
UNMATCHED,West Nile virus Ab.IgM,,,,,
UNMATCHED,Histoplasma capsulatum Ag,,,,,
UNMATCHED,Spermatozoa,,,,,
UNMATCHED,Burr cells,,,,,
UNMATCHED,levETIRAcetam,,,,,
UNMATCHED,Osmolality,,,,,
UNMATCHED,Cells.CD3+CD8+,,,,,
UNMATCHED,Trypanosoma cruzi Ab.IgM,,,,,
UNMATCHED,Treponema pallidum Ab.IgG+IgM,,,,,
UNMATCHED,Elliptocytes,,,,,
UNMATCHED,Neisseria gonorrhoeae DNA,,,,,
UNMATCHED,Mycoplasma pneumoniae Ab.IgG,,,,,
UNMATCHED,XXX microorganism DNA,,,,,
UNMATCHED,Cells.CD3/100 cells,,,,,
UNMATCHED,Cholesterol.in VLDL,,,,,
UNMATCHED,HLA-B*57:01,,,,,
UNMATCHED,Mitogen stimulated gamma interferon^^corrected for background,,,,,
UNMATCHED,Cells.CD3+CD8+/100 cells,,,,,
UNMATCHED,Cells.CD3+CD4+/100 cells,,,,,
UNMATCHED,Cholesterol.non HDL,,,,,
UNMATCHED,Dohle body,,,,,
UNMATCHED,Cytomegalovirus Ab.IgG,,,,,
UNMATCHED,Hyaline casts,,,,,
UNMATCHED,Toxoplasma gondii Ab.IgG,,,,,
UNMATCHED,Strongyloides stercoralis Ab.IgG,,,,,
UNMATCHED,Mycobacterium tuberculosis tuberculin stimulated gamma interferon/Mitogen stimulated gamma interferon,,,,,
UNMATCHED,Hepatitis A virus Ab.IgG,,,,,
UNMATCHED,Benzodiazepines,,,,,
UNMATCHED,Vancomycin,,,,,
UNMATCHED,Opiates,,,,,
UNMATCHED,Phencyclidine,,,,,
