sinai_med,mover_med,,,,,
Warfarin,WARFARIN SODIUM 2.5 MG OR TABS,,,,,
Warfarin,WARFARIN SODIUM 2 MG OR TABS,,,,,
Warfarin,WARFARIN SODIUM 5 MG OR TABS,,,,,
Warfarin,WARFARIN SODIUM 1 MG OR TABS,,,,,
Warfarin,WARFARIN SODIUM 10 MG OR TABS,,,,,
Warfarin,WARFARIN SODIUM 7.5 MG OR TABS,,,,,
Warfarin,WARFARIN 0.5 MG OR TAB (HALF TABLET),,,,,
Warfarin,WARFARIN 1.25 MG OR TAB (HALF TABLET),,,,,
Warfarin,WARFARIN PER PHARMACY - UCI,,,,,
Famotidine,FAMOTIDINE 20 MG OR TABS,,,,,
Famotidine,FAMOTIDINE 20 MG/2ML IV SOLN,,,,,
Famotidine,FAMOTIDINE 40 MG/5ML OR SUSR,,,,,
Famotidine,FAMOTIDINE (PF) 20 MG/2ML IV SOLN,,,,,
Famotidine,FAMOTIDINE IN NACL 20 MG/50ML IV SOLN,,,,,
Aspirin,ASPIRIN EC 81 MG OR TBEC,,,,,
Aspirin,ASPIRIN 81 MG OR CHEW,,,,,
Aspirin,ASPIRIN 300 MG RE SUPP,,,,,
Aspirin,ASPIRIN 325 MG OR TABS,,,,,
Aspirin,ASPIRIN EC 325 MG OR TBEC,,,,,
Aspirin,ASPIRIN 81 MG OR TABS,,,,,
Aspirin,ASPIRIN 600 MG RE SUPP,,,,,
Emtricitabine,EMTRICITABINE-TENOFOVIR 200-300 MG OR TABS,,,,,
Emtricitabine,EMTRICITABINE-TENOFOVIR AF 200-25 MG PO TABS,,,,,
Atenolol,ATENOLOL 25 MG OR TABS,,,,,
Atenolol,ATENOLOL 50 MG OR TABS,,,,,
Atenolol,ATENOLOL 12.5 MG OR TABS (HALF TABLET),,,,,
Etomidate,ETOMIDATE 2 MG/ML IV SOLN,,,,,
Hydralazine,HYDRALAZINE HCL 20 MG/ML IJ SOLN,,,,,
Hydralazine,HYDRALAZINE HCL 25 MG OR TABS,,,,,
Hydralazine,HYDRALAZINE HCL 50 MG OR TABS,,,,,
Hydralazine,HYDRALAZINE HCL 10 MG OR TABS,,,,,
Ketorolac,KETOROLAC TROMETHAMINE 30 MG/ML IJ SOLN,,,,,
Ketorolac,KETOROLAC TROMETHAMINE 15 MG/ML IJ SOLN,,,,,
