sinai_vital,mover_vital,,,,,
ARTERIAL BLOOD PRESSURE - diastolic,unmatched,,,,,
ARTERIAL BLOOD PRESSURE - systolic,unmatched,,,,,
CENTRAL VENOUS PRESURE (CVP),unmatched,,,,,
CENTRAL VENOUS PRESURE (CVP) - diastolic,unmatched,,,,,
CENTRAL VENOUS PRESURE (CVP) - systolic,unmatched,,,,,
CEREBRAL SATURATION,unmatched,,,,,
CORONARY PERFUSION PRESSURE (CPP),unmatched,,,,,
ETO2,ETO2,,,,,
INTRACRANIAL PRESSURE (ICP),unmatched,,,,,
FIO2,FiO2 (%),,,,,
ETCO2,ETCO2 (mmHg),,,,,
LEFT ATRIAL PRESSURE (LAP),unmatched,,,,,
MEAN INTRACRANIAL PRESSURE (ICP),unmatched,,,,,
MEAN BLOOD PRESSURE (MAP),MAP (mmHg),,,,,
PULMONARY ARTERY PRESSURE (PAP),unmatched,,,,,
PULMONARY CAPILLARY WEDGE PRESSURE (PCWP),PAWP,,,,,
SUPPLEMENTAL O2 FLOW,O2 Flow Rate (L/min),,,,,
VENTILATOR RESPIRATORY RATE SET,Set Resp Rate,,,,,
Tissue saturation,unmatched,,,,,
BLOOD PRESSURE - diastolic,BLOOD PRESSURE - diastolic,,,,,
BLOOD PRESSURE - systolic,BLOOD PRESSURE - systolic,,,,,
TEMP SOURCE,Temp source,,,,,
PULSE OXIMETRY,SpO2,,,,,
RESPIRATORY RATE (RR),Resp,,,,,
PULSE,Pulse,,,,,
TEMPERATURE,Temp,,,,,
OXYGEN DEVICE,O2 Device,,,,,
PRESSURE DESC (BUNDLE),unmatched,,,,,
PACO2,unmatched,,,,,
unmatched,SET TV,,,,,
unmatched,ISO ET,,,,,
unmatched,PIP Observed,,,,,
unmatched,ETN2O,,,,,
unmatched,BP Location,,,,,
unmatched,Cardiac Rhythm,,,,,
unmatched,Max Systolic,,,,,
unmatched,BP,,,,,
unmatched,Pain Score,,,,,
unmatched,Arms,,,,,
unmatched,Position Checks,,,,,
unmatched,Fluid Warmer,,,,,
unmatched,Min Systolic,,,,,
unmatched,Bite Block Secure,,,,,
unmatched,NIBP Site,,,,,
unmatched,Min Diastolic,,,,,
unmatched,Observations,,,,,
unmatched,Urine,,,,,
unmatched,EKG,,,,,
unmatched,Breath Sounds Left,,,,,
unmatched,Extubation Assessment,,,,,
unmatched,Nitrous Oxide,,,,,
unmatched,SEV ET,,,,,
unmatched,Weight,,,,,
unmatched,Urine Output,,,,,
unmatched,POC Glucose (mg/dL),,,,,
unmatched,Arterial Line BP (ART),,,,,
unmatched,Volume,,,,,
unmatched,Head/Neck,,,,,
unmatched,Eyes,,,,,
unmatched,Heart Rate,,,,,
unmatched,Expired Min Volume (MV),,,,,
unmatched,FICO2,,,,,
unmatched,FIN20 (%),,,,,
unmatched,Set PEEP,,,,,
unmatched,Exhaled TV (ml),,,,,
unmatched,BP-ART A-line,,,,,
unmatched,SEV In,,,,,
unmatched,ETCO2RR,,,,,
unmatched,MAP-ART A-line,,,,,
unmatched,Patient Position,,,,,
unmatched,Padding,,,,,
unmatched,Air,,,,,
unmatched,Table Position,,,,,
unmatched,Extubation Event,,,,,
unmatched,Laryngoscopy Technique,,,,,
unmatched,NIBP,,,,,
unmatched,NIBP - MAP,,,,,
unmatched,Airway Device,,,,,
unmatched,Direct Admit to OR,,,,,
unmatched,TOF (x / 4),,,,,
unmatched,Size,,,,,
unmatched,Size (mm),,,,,
unmatched,Attestation comments,,,,,
unmatched,DES ET,,,,,
unmatched,ISO In,,,,,
unmatched,Temp src,,,,,
unmatched,DES In,,,,,
unmatched,Arterial Line MAP (ART),,,,,
unmatched,BMI (Calculated),,,,,
unmatched,Have you ever been treated for high blood pressure?,,,,,
unmatched,BMI kg/m2,,,,,
unmatched,Laryngoscopy View Grade,,,,,
unmatched,Direct Trauma Admit to OR,,,,,
unmatched,PIV Location,,,,,
unmatched,Heart Sounds,,,,,
unmatched,Breath Sounds Right,,,,,
unmatched,BSA m2,,,,,
unmatched,Vent Mode,,,,,
unmatched,QBL,,,,,
unmatched,OR COMPLICATIONS,,,,,
unmatched,Additional Equipment,,,,,
unmatched,Height,,,,,
unmatched,Active warming device,,,,,
unmatched,Ease of Ventilation,,,,,
unmatched,Is this a Neuro Surgery case?,,,,,
unmatched,Disposition,,,,,
unmatched,BSA (Calculated - sq m),,,,,
unmatched,BIS,,,,,
unmatched,GI Only: Location of procedure,,,,,
unmatched,Has a physician diagnosed you with sleep apnea?,,,,,
unmatched,Do you use a CPAP at home?,,,,,
unmatched,Comment,,,,,
unmatched,Heart Rate Source,,,,,
unmatched,Additional Intake,,,,,
unmatched,Room procedure performed in,,,,,
unmatched,Other Output (Comment),,,,,
unmatched,Flo trac monitor,,,,,
unmatched,Max Diastolic,,,,,
unmatched,PRBC Volume,,,,,
unmatched,Removal Time,,,,,
unmatched,Placement Date,,,,,
unmatched,Placement Time,,,,,
unmatched,Removal Date,,,,,
unmatched,Leads,,,,,
unmatched,PRBC,,,,,
unmatched,Warming Device,,,,,
unmatched,Checklist,,,,,
unmatched,,,,,,
unmatched,CI (l/min/m2),,,,,
unmatched,CO (l/min) - thermodilution,,,,,
unmatched,SI,,,,,
unmatched,SV (ml),,,,,
unmatched,SVR (dynesec)/cm5,,,,,
unmatched,SVRI (dynesec)/cm5,,,,,
